Adobe After Effects 8.0 Keyframe Data

	Units Per Second	25
	Source Width	1280
	Source Height	720
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	565.5	370	
	1	567.441	370.105	
	2	569.438	369.688	
	3	570.637	369.055	
	4	570.695	368.566	
	5	571.035	367.426	
	6	571.133	366.68	
	7	571.273	366.027	
	8	571.375	365.266	
	9	571.09	365.113	
	10	563.414	363.746	
	11	555.82	364.059	
	12	548.352	364.301	
	13	540.527	364.457	
	14	533.758	364.281	
	15	526.09	364.066	
	16	519.555	364.316	
	17	513.887	364.559	
	18	507.562	364.379	
	19	503.117	364.008	
	20	497.066	365.617	
	21	491.75	366.254	
	22	487.914	366.105	
	23	484.5	366.055	
	24	481.875	366.301	
	25	479.621	366.227	
	26	477.859	366.316	
	27	476.234	367.188	
	28	474.883	367.734	
	29	473.527	367.785	
	30	472.984	368.617	
	31	472.637	369.227	
	32	472.602	369.297	
	33	472.09	369.703	
	34	467.457	369.938	
	35	462.082	369.562	
	36	458.676	369.062	
	37	458.938	369.035	
	38	452.164	369.402	
	39	449.871	368.215	
	40	451.324	367.832	
	41	451.355	372.898	
	42	453.656	372.773	
	43	455.77	372.176	
	44	458.117	372.262	
	45	464.316	372.141	
	46	468.293	372.812	
	47	473.195	372.102	
	48	477.43	372.484	
	49	481.852	373.824	
	50	488.109	372.602	
	51	493.305	372.941	
	52	497.895	373.051	
	53	496.043	373.684	
	54	491.816	374.449	
	55	488.605	374.523	
	56	485.133	374.992	
	57	482.898	375.914	
	58	480.488	376.574	
	59	478.547	377.613	
	60	477.32	378.191	
	61	476.996	378.191	
	62	476.762	378.902	
	63	476.965	380.094	
	64	477.277	380.938	
	65	478.828	381.059	
	66	480.871	381.875	
	67	482.438	383.078	
	68	484.949	384.977	
	69	484.75	385.32	
	70	493.25	386.926	
	71	497.66	388.398	
	72	501.371	389.723	
	73	507.562	391.879	
	74	513.863	392.551	
	75	520.996	393.656	
	76	528.871	395.797	
	77	536.852	397.715	
	78	544.352	398.113	
	79	549.148	398.312	
	80	548.148	399.223	
	81	549.957	396.477	
	82	550.324	395.531	
	83	550.32	395.391	
	84	550.191	395.656	
	85	550.23	397.258	
	86	549.91	399.633	
	87	549.707	401.938	
	88	550.871	401.445	
	89	552.258	401.426	
	90	554.016	401.781	
	91	555.977	402.914	
	92	558.324	404.062	
	93	560.859	405.758	
	94	563.262	407.902	
	95	567.473	408.129	
	96	571.621	407.027	
	97	575.676	406.648	
	98	579.812	407.102	
	99	585.312	406.383	
	100	589.879	405.734	
	101	595.512	405.484	
	102	601.836	405.699	
	103	607.777	406.863	
	104	613.73	407.75	
	105	619.992	407.551	
	106	626.711	407.598	
	107	632.836	407.82	
	108	639.137	408.395	
	109	646.711	408.34	
	110	653.953	408.348	
	111	660.453	408.715	
	112	668.074	408.719	
	113	675.953	408.883	
	114	684.207	409.207	
	115	692.301	409.258	
	116	700.121	409.711	
	117	709.551	410.086	
	118	719.434	410.727	
	119	728.934	410.652	
	120	738.5	411.199	
	121	746.211	414.816	
	122	759.422	411.215	
	123	768.902	411.672	
	124	778.605	412.898	
	125	788.402	412.246	
	126	798.703	413.66	
	127	808.418	414.16	
	128	818.559	413.438	
	129	828.637	410.004	
	130	837.137	407.637	
	131	843.512	406.242	
	132	849.133	407.648	
	133	852.402	421.074	
	134	849.117	422.77	
	135	846.496	424.43	
	136	844.105	426.047	
	137	842.207	425.414	
	138	840.496	424.324	
	139	842.887	423.984	
	140	839.457	424.621	
	141	837.832	426.039	
	142	837.711	426.078	
	143	838.262	425.004	
	144	840.117	423.633	
	145	841.484	423.699	
	146	843.387	424.379	
	147	847.113	426.52	
	148	851.266	423.305	
	149	853.82	421.922	
	150	856.266	421.52	
	151	858.758	421.789	
	152	860.949	423.285	
	153	863.133	425.535	
	154	865.344	427.098	
	155	868.754	425.754	
	156	870.66	425.457	
	157	872.457	425.613	
	158	874.977	427.031	
	159	877.629	428.953	
	160	881.145	430.328	
	161	883.895	430.48	
	162	886.586	429.258	
	163	883.965	423.195	
	164	880.387	416.785	
	165	877.801	410.867	
	166	873.141	405.449	
	167	869.918	400.066	
	168	865.418	396.508	
	169	859.449	393.168	
	170	854.348	390.711	
	171	848.605	389.258	
	172	842.797	388.934	
	173	836.297	388.77	
	174	829.664	388.703	
	175	823.02	390.418	
	176	816.82	392.758	
	177	810.438	397.926	
	178	804.836	403.453	
	179	799.98	409.254	
	180	794.527	416.48	
	181	788.977	423.039	
	182	784.285	429.914	
	183	779.637	438.457	
	184	777.25	438.066	
	185	775.551	432.195	
	186	773.758	427.621	
	187	771.961	423.418	
	188	769.75	420.945	
	189	767.375	418.59	
	190	763.695	416.879	
	191	761.57	416.48	
	192	757.945	418.16	
	193	754.215	420.5	
	194	741.773	424.852	
	195	756.613	410.441	
	196	781.328	404.441	
	197	805.445	394.207	
	198	823.84	386.293	
	199	845.684	378.531	
	200	865.102	371.078	
	201	886.527	363.586	
	202	901.027	359.719	
	203	916.75	355.98	
	204	928.422	354.555	
	205	940.066	359.02	
	206	951.887	353.781	
	207	963.531	355.121	
	208	973.98	356.438	
	209	985.211	359.984	


End of Keyframe Data

